ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,LOG_COST,LOG_FREE_TRIALS
DR - Direct Response,Title,paid social,8.959993903642285,11.3667678387418
DR - Direct Response,Title,app,7.8141209196846,7.992180742179701
ATL - Above The Line,Title,paid social,9.232475570828532,9.434609689377892
DR - Direct Response,Title,app,10.812408594836176,9.753131995445097
ATL - Above The Line,Title,paid social,7.641113067203475,9.987797910054669
ATL - Above The Line,Title,paid social,7.641141884401581,9.733087056697824
DR - Direct Response,Brand,display,10.913818021179866,7.667251840083616
DR - Direct Response,Title,youtube,9.448601081094246,10.61164230403123
ATL - Above The Line,Title,paid social,7.216606691411518,10.769739781390031
DR - Direct Response,Brand,app,9.04273677272116,11.831137057684716
DR - Direct Response,Title,paid social,7.227531771229939,9.433850256182303
ATL - Above The Line,Brand,youtube,7.223361322921965,9.351758333698426
DR - Direct Response,Brand,paid social,8.500236231365669,7.536966423540553
DR - Direct Response,Brand,app,4.619664632138544,9.930041358859668
DR - Direct Response,Title,app,4.956812487398749,11.128260574634652
DR - Direct Response,Brand,display,7.0492114375361306,9.610906834621938
DR - Direct Response,Brand,display,6.237054287252022,12.374300391183752
DR - Direct Response,Title,display,8.630687934363479,9.96712222782808
DR - Direct Response,Brand,paid social,6.425905763452663,10.371901481377478
DR - Direct Response,Title,paid social,5.518055124727414,8.857398451626558
ATL - Above The Line,Title,youtube,10.70883644432056,10.512544993056585
DR - Direct Response,Title,app,5.495691725968284,10.951051253715615
ATL - Above The Line,Title,paid social,7.081506885093025,11.587805824470315
DR - Direct Response,Brand,display,8.263760521244212,9.201518574090072
DR - Direct Response,Brand,paid social,5.988234335587697,10.385511460398376
ATL - Above The Line,Title,paid social,8.74158875863134,10.78996216906656
DR - Direct Response,Title,paid social,6.9800480331956125,10.66806616221638
DR - Direct Response,Brand,paid social,7.537302164799113,9.356635707789213
DR - Direct Response,Title,app,6.978120541642701,7.825696647805259
ATL - Above The Line,Brand,paid social,11.406700131020395,10.57246191039153
DR - Direct Response,Brand,paid social,8.039244483454727,10.071524231218714
DR - Direct Response,Brand,paid social,6.156215982708472,9.65613583376905
ATL - Above The Line,Brand,youtube,9.548068248522965,10.990685949868729
DR - Direct Response,Brand,ott,5.862494165811022,10.179422016248004
DR - Direct Response,Title,app,8.440504353229525,8.901431939201172
ATL - Above The Line,Brand,display,4.536784273121627,8.287457962652633
DR - Direct Response,Brand,app,5.669329046586822,9.092209775927683
DR - Direct Response,Title,ott,8.418845803962737,12.624613689743716
DR - Direct Response,Brand,pmax,9.396316907855573,10.949394849085786
DR - Direct Response,Brand,app,8.372840025485702,10.413644752957
DR - Direct Response,Brand,app,5.39906726964818,11.395137604302205
ATL - Above The Line,Brand,youtube,6.765108178538294,9.73243347857168
ATL - Above The Line,Brand,ott,7.2325452572578,10.803104852072789
DR - Direct Response,Title,youtube,9.9714611046936,9.875019145597491
ATL - Above The Line,Title,paid social,8.683693584358892,12.170404897115851
ATL - Above The Line,Brand,paid social,8.648438974023057,11.473732039444636
DR - Direct Response,Title,youtube,7.368831678827881,9.638344881870324
