Feature,VIF
CHANNEL_MONTH_digital audio_January,169947155749830.03
CHANNEL_MONTH_ooh_January,43724268226898.016
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_January,25957346555449.543
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_December,25661536338293.426
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_paid social_January,24212901222422.023
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ooh_September,23334713095183.918
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_March,18843513085232.2
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_tv_November,18307315558416.652
SEASON_Winter,17422048848628.611
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_December,16084284383466.057
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_March,15529653887484.469
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_December,14962125007875.402
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_bvod_November,14937312196917.068
CHANNEL_MONTH_cinema_February,14319871629158.97
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_December,14229382708911.52
CHANNEL_ctv,14184565755497.625
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_January,14184565755497.625
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_September,13751449243879.377
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_display_May,13544660533445.102
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_radio_June,12686196133438.018
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ooh_November,12615125006640.045
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_March,12041710233610.951
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_January,11622192586762.57
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_March,11518157614758.303
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ctv_January,11011246032690.7
CHANNEL_MONTH_app_November,10329356943510.312
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_March,10235453698569.309
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_September,10154677852019.156
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_cinema_February,9843933611738.79
CHANNEL_MONTH_display_May,9695585850097.945
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_olv_February,9541524634259.525
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_tv_January,9162969740326.543
CHANNEL_MONTH_olv_February,9052461562553.762
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_June,8900394520495.05
CHANNEL_MONTH_paid social_December,8770398495366.107
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_December,8669104191281.032
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_December,8402238110765.851
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_display_November,8092721702372.859
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_tv_April,7588204932384.997
CHANNEL_radio,7142901867360.025
CHANNEL_MONTH_bvod_September,7064470003718.425
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_tv_February,6923289204259.025
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_partnership_December,6833990329849.008
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_November,6828809139303.254
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ott_April,6797886229993.201
MONTH_December,6667060884338.262
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_cinema_February,6579400478262.2295
CHANNEL_MONTH_olv_October,6452148463281.513
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_May,6276793905742.852
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_September,6237672614086.56
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_October,6199035963345.486
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_October,6127346431796.593
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_January,6045100170967.108
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_paid social_December,5945346042733.328
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_cinema_December,5650689620289.204
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_tv_January,5522501075868.174
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_February,5458908639236.965
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_January,5406482145702.876
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_June,5364621354818.936
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_February,5332859239041.439
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_bvod_November,5307719065846.194
